snap_ts,resource,resource_type,metric,metric_ts,value
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,MemoryPercentage,2026-04-02T07:59:00Z,76.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,MemoryPercentage,2026-04-02T08:00:00Z,77.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,MemoryPercentage,2026-04-02T08:01:00Z,77.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,MemoryPercentage,2026-04-02T08:02:00Z,77.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,MemoryPercentage,2026-04-02T08:03:00Z,76.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,CpuPercentage,2026-04-02T07:59:00Z,14.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,CpuPercentage,2026-04-02T08:00:00Z,13.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,CpuPercentage,2026-04-02T08:01:00Z,15.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,CpuPercentage,2026-04-02T08:02:00Z,10.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,CpuPercentage,2026-04-02T08:03:00Z,31.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,HttpQueueLength,2026-04-02T07:59:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,HttpQueueLength,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,HttpQueueLength,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,HttpQueueLength,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,HttpQueueLength,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,DiskQueueLength,2026-04-02T07:59:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,DiskQueueLength,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,DiskQueueLength,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,DiskQueueLength,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-plan,plan,DiskQueueLength,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,AverageResponseTime,2026-04-02T07:59:00Z,0.0116
2026-04-02T08:03:58.830205Z,memlabapp-1,app,AverageResponseTime,2026-04-02T08:00:00Z,0.0026
2026-04-02T08:03:58.830205Z,memlabapp-1,app,AverageResponseTime,2026-04-02T08:01:00Z,0.0062
2026-04-02T08:03:58.830205Z,memlabapp-1,app,AverageResponseTime,2026-04-02T08:02:00Z,0.0035
2026-04-02T08:03:58.830205Z,memlabapp-1,app,AverageResponseTime,2026-04-02T08:03:00Z,0.0089
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http5xx,2026-04-02T07:59:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http5xx,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http5xx,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http5xx,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http5xx,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http4xx,2026-04-02T07:59:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http4xx,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http4xx,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http4xx,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Http4xx,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Requests,2026-04-02T07:59:00Z,10.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Requests,2026-04-02T08:00:00Z,8.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Requests,2026-04-02T08:01:00Z,10.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Requests,2026-04-02T08:02:00Z,11.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,Requests,2026-04-02T08:03:00Z,8.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,MemoryWorkingSet,2026-04-02T07:59:00Z,81523029.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,MemoryWorkingSet,2026-04-02T08:00:00Z,81466709.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,MemoryWorkingSet,2026-04-02T08:01:00Z,81254400.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,MemoryWorkingSet,2026-04-02T08:02:00Z,82456917.0
2026-04-02T08:03:58.830205Z,memlabapp-1,app,MemoryWorkingSet,2026-04-02T08:03:00Z,82604032.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,AverageResponseTime,2026-04-02T07:59:00Z,0.006
2026-04-02T08:03:58.830205Z,memlabapp-2,app,AverageResponseTime,2026-04-02T08:00:00Z,0.0049
2026-04-02T08:03:58.830205Z,memlabapp-2,app,AverageResponseTime,2026-04-02T08:01:00Z,0.0035
2026-04-02T08:03:58.830205Z,memlabapp-2,app,AverageResponseTime,2026-04-02T08:02:00Z,0.0021
2026-04-02T08:03:58.830205Z,memlabapp-2,app,AverageResponseTime,2026-04-02T08:03:00Z,0.0088
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http5xx,2026-04-02T07:59:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http5xx,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http5xx,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http5xx,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http5xx,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http4xx,2026-04-02T08:00:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http4xx,2026-04-02T08:01:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http4xx,2026-04-02T08:02:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http4xx,2026-04-02T08:03:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Http4xx,2026-04-02T08:04:00Z,0.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Requests,2026-04-02T08:00:00Z,8.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Requests,2026-04-02T08:01:00Z,11.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Requests,2026-04-02T08:02:00Z,8.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Requests,2026-04-02T08:03:00Z,10.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,Requests,2026-04-02T08:04:00Z,11.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,MemoryWorkingSet,2026-04-02T08:00:00Z,82250752.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,MemoryWorkingSet,2026-04-02T08:01:00Z,81773568.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,MemoryWorkingSet,2026-04-02T08:02:00Z,83662848.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,MemoryWorkingSet,2026-04-02T08:03:00Z,83747157.0
2026-04-02T08:03:58.830205Z,memlabapp-2,app,MemoryWorkingSet,2026-04-02T08:04:00Z,81208661.0
